scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP1,2027,0,17.2996585408078,-8282028604.83627,24411985.4296875,3539025596.83149,4830.53344053125,176762.820332025,29676527507.7525,-9965309400.35767,30.5267775508211,2331443441.41776,1.09885581073136
SSP1,2028,0,17.398745593173,-8282028604.83627,24472222.984375,3547758284.65582,4836.57381653224,176953.938422116,29713636739.4259,-9976084012.89313,31.3650207147154,2395463186.82066,1.10514971433661
SSP1,2029,0,17.4768292694591,-8282028604.83627,24479859.4921875,3548865355.47137,4842.61419253322,177145.056512206,29750745971.0992,-9986858625.42858,32.0281020591077,2446105173.15335,1.11010950595376
SSP1,2030,0,17.5574865316705,-8282028604.83627,24534574.5703125,3556797445.32841,4848.65456853422,177336.174602296,29787855202.7726,-9997633237.96404,32.6355172223238,2492495726.36979,1.11523276899676
SSP1,2031,0,17.6948710110448,-8282028604.83627,25774540.265625,3736556291.55349,4854.6949445352,177527.292692385,29824964434.4459,-10008407850.4995,31.735875440861,2423786740.38118,1.12395928421142
SSP1,2032,0,17.9047191451229,-8282028604.83627,26452756.75,3834877892.855,4860.73532053619,177718.410782475,29862073666.1192,-10019182463.0349,32.8513365970599,2508978654.01985,1.13728861328222
SSP1,2033,0,18.0783045040091,-8282028604.83627,26989229.1328125,3912650735.2252,4866.77569653718,177909.528872565,29899182897.7926,-10029957075.5704,33.7610461273369,2578456551.39793,1.14831456965124
SSP1,2034,0,18.1975510047333,-8282028604.83627,27266728.046875,3952879980.92866,4872.81607253817,178100.646962655,29936292129.4659,-10040731688.1059,34.4508467366158,2631139187.28086,1.15588897985831
SSP1,2035,0,18.2477159713696,-8282028604.83627,27127226.78125,3932656367.76703,4878.85644853916,178291.765052745,29973401361.1393,-10051506300.6413,35.0276677022931,2675193147.94087,1.159075404894
SSP1,2036,0,18.3382851203422,-8282028604.83627,27899571.203125,4044623773.55049,4884.89682454015,178482.883142835,30010510592.8126,-10062280913.1768,34.4026768232259,2627460271.99216,1.16482826038458
SSP1,2037,0,18.3016187949789,-8282028604.83627,27227363.546875,3947173277.00211,4890.93720054114,178674.001232925,30047619824.486,-10073055525.7122,34.8537423705978,2661909824.03934,1.16249925460746
SSP1,2038,0,18.1991720545067,-8282028604.83627,26221220.765625,3801311930.85446,4896.97757654212,178865.119323015,30084729056.1593,-10083830138.2477,35.0773793417293,2678989810.5769,1.15599194720641
SSP1,2039,0,18.1090434849971,-8282028604.83627,25301302.2265625,3667950583.98167,4903.01795254311,179056.237413105,30121838287.8327,-10094604750.7831,35.2986355420723,2695887968.80221,1.15026707685218
SSP1,2040,0,18.0824743844493,-8282028604.83627,24813876.890625,3597288132.31851,4909.0583285441,179247.355503195,30158947519.506,-10105379363.3186,35.5311596732727,2713646700.77961,1.14857943599765
SSP1,2041,0,18.2277758917999,-8282028604.83627,25749494.6484375,3732925407.83982,4914.42916203048,179325.419052582,30191943396.5992,-10109780330.7906,35.2832906580638,2694716022.98771,1.15780883236311
