scenario,year,displaced_persons
Historical,1961,6.277279515625
Historical,1962,12.9376338203125
Historical,1963,12.710920671875
Historical,1964,9.7447603515625
Historical,1965,6.2950996875
Historical,1966,9.0091900859375
Historical,1967,9.48402321875
Historical,1968,6.80250284375
Historical,1969,11.495952625
Historical,1970,6.0096215
Historical,1971,9.227094828125
Historical,1972,8.7725096015625
Historical,1973,9.1175065234375
Historical,1974,8.521938265625
Historical,1975,10.23621990625
Historical,1976,6.6811186484375
Historical,1977,8.6330054765625
Historical,1978,11.131011359375
Historical,1979,6.8902519453125
Historical,1980,13.7762221171875
Historical,1981,11.489799203125
Historical,1982,12.9539403125
Historical,1983,14.8187512890625
Historical,1984,10.3974400078125
Historical,1985,12.4340830234375
Historical,1986,11.8194328828125
Historical,1987,15.72708390625
Historical,1988,16.831575015625
Historical,1989,7.2172591328125
Historical,1990,14.5236659375
Historical,1991,12.67836171875
Historical,1992,16.66745365625
Historical,1993,17.2619804453125
Historical,1994,15.5139196171875
Historical,1995,18.9387198046875
Historical,1996,16.512237765625
Historical,1997,14.817435359375
Historical,1998,16.675980375
Historical,1999,14.47073090625
Historical,2000,15.5968218359375
Historical,2001,17.2381596171875
Historical,2002,17.13269546875
Historical,2003,16.8406486953125
Historical,2004,19.6751966953125
Historical,2005,15.37835346875
Historical,2006,26.0449727578125
Historical,2007,20.471647640625
Historical,2008,22.39424775
Historical,2009,18.6470239296875
Historical,2010,22.0976913984375
Historical,2011,23.870311796875
Historical,2012,21.7005944296875
Historical,2013,26.6533499765625
Historical,2014,13.77292859375
Historical,2015,21.004064609375
Historical,2016,16.7561548828125
Historical,2017,27.1170582109375
Historical,2018,22.3146739140625
Historical,2019,19.038508234375
Historical,2020,18.6846335
Historical,2021,19.5866875078125
Historical,2022,19.3151493203125
SSP1,2023,19.3685933046875
SSP1,2024,20.2004173203125
SSP1,2025,21.4588250390625
SSP1,2026,24.1627433515625
SSP1,2027,24.4119854296875
SSP1,2028,24.472222984375
SSP1,2029,24.4798594921875
SSP1,2030,24.5345745703125
SSP1,2031,25.774540265625
SSP1,2032,26.45275675
SSP1,2033,26.9892291328125
SSP1,2034,27.266728046875
SSP1,2035,27.12722678125
SSP1,2036,27.899571203125
SSP1,2037,27.227363546875
SSP1,2038,26.221220765625
SSP1,2039,25.3013022265625
SSP1,2040,24.813876890625
SSP1,2041,25.7494946484375
SSP1,2042,25.805401484375
SSP1,2043,25.8276923046875
SSP1,2044,25.716168875
SSP1,2045,25.5843146796875
SSP1,2046,26.8670642421875
SSP1,2047,26.968230140625
SSP1,2048,26.96929609375
SSP1,2049,26.9083874375
SSP1,2050,26.820409984375
SSP1,2051,28.352141390625
SSP1,2052,28.41244659375
SSP1,2053,28.447170890625
SSP1,2054,28.4879338515625
SSP1,2055,28.5638339765625
SSP1,2056,30.11749725
SSP1,2057,30.21444096875
SSP1,2058,30.3095203046875
SSP1,2059,30.40988453125
SSP1,2060,30.5995071171875
SSP1,2061,31.5693822109375
SSP1,2062,31.440131375
SSP1,2063,31.3416174296875
