scenario,year,conflicts
SSP2,2072,46.0305507462278
SSP2,2073,46.3586032708898
SSP2,2074,46.6665850329912
SSP2,2075,46.9744837744134
SSP2,2076,47.2354648177085
SSP2,2077,47.6127419488552
SSP2,2078,47.9925945609433
SSP2,2079,48.3678172927994
SSP2,2080,48.739687103028
SSP2,2081,48.9280027984645
SSP2,2082,49.1876665748289
SSP2,2083,49.4334907562177
SSP2,2084,49.6459307496701
SSP2,2085,49.8340487497991
SSP2,2086,49.9325888695715
SSP2,2087,50.1409054451833
SSP2,2088,50.384816932382
SSP2,2089,50.6369179058892
SSP2,2090,50.9004862310625
SSP2,2091,51.1001215401779
SSP2,2092,51.3954678714465
SSP2,2093,51.7019014036219
SSP2,2094,52.0117905787973
SSP2,2095,52.3159146109593
SSP2,2096,52.5728764326945
SSP2,2097,52.8677443842169
SSP2,2098,53.1509657485724
SSP2,2099,53.4369552261092
SSP2,2100,53.717071546131
SSP3,2014,30.9169023581561
SSP3,2015,33.8742083950762
SSP3,2016,29.9480943508958
SSP3,2017,33.5181590889842
SSP3,2018,31.8398943131246
SSP3,2019,29.9603364253763
SSP3,2020,30.3155136058611
SSP3,2021,29.966596698756
SSP3,2022,30.4673226717704
SSP3,2023,30.8936453574092
SSP3,2024,31.3081478513542
SSP3,2025,31.6803095231205
SSP3,2026,31.7015881865615
SSP3,2027,32.2153186762113
SSP3,2028,32.6671129530924
SSP3,2029,33.1106173906693
SSP3,2030,33.5402618247854
SSP3,2031,34.7300359127958
SSP3,2032,35.2721258184498
SSP3,2033,35.8094281946815
SSP3,2034,36.359474291963
SSP3,2035,36.8363362752635
SSP3,2036,37.0160174985573
SSP3,2037,37.2740836719724
SSP3,2038,37.4216824117233
SSP3,2039,37.4868423553992
SSP3,2040,37.5733300044155
SSP3,2041,37.6958753202193
SSP3,2042,37.8670208634248
SSP3,2043,38.0452945735272
SSP3,2044,38.2298792636501
SSP3,2045,38.4053606538831
SSP3,2046,38.8691315891402
SSP3,2047,39.1163686801355
SSP3,2048,39.4089693859414
SSP3,2049,39.76322040914
SSP3,2050,40.2045887115417
SSP3,2051,40.8598373420346
SSP3,2052,41.5299229178592
SSP3,2053,42.2273642820088
SSP3,2054,42.9303423584216
SSP3,2055,43.6819198205709
SSP3,2056,44.0817157995985
SSP3,2057,44.8316529716209
SSP3,2058,45.4087970262455
SSP3,2059,45.8548915466785
SSP3,2060,46.1966081917744
SSP3,2061,46.2470233844149
SSP3,2062,46.600921464055
SSP3,2063,46.9693422638088
SSP3,2064,47.3510049133554
SSP3,2065,47.7560397069089
SSP3,2066,47.969345198829
SSP3,2067,48.531712596157
SSP3,2068,49.1314724351086
SSP3,2069,49.7308750652174
SSP3,2070,50.3345499510011
SSP3,2071,50.7540747060513
SSP3,2072,51.4514294172579
SSP3,2073,52.152624380151
SSP3,2074,52.8703538842512
SSP3,2075,53.570682612039
SSP3,2076,54.0861309561846
SSP3,2077,54.7590515054662
SSP3,2078,55.4058069477366
SSP3,2079,56.022013059735
SSP3,2080,56.5913604660244
SSP3,2081,57.0970943691637
SSP3,2082,57.6211329323742
SSP3,2083,58.0943845255429
SSP3,2084,58.5103124302552
SSP3,2085,58.8703345693517
SSP3,2086,59.0199826664531
SSP3,2087,59.2794776128817
SSP3,2088,59.5631442197509
SSP3,2089,59.9063822224754
SSP3,2090,60.2511395422948
SSP3,2091,60.3803329942018
SSP3,2092,60.6785203418658
SSP3,2093,61.0023838706319
SSP3,2094,61.3936853224324
SSP3,2095,61.8396399418333
SSP3,2096,62.1181116353101
SSP3,2097,62.3227077585396
SSP3,2098,62.4340786788725
SSP3,2099,62.5481344438684
SSP3,2100,62.6811936309361
SSP5,2014,31.1243536069566
SSP5,2015,34.0233569443578
SSP5,2016,30.2133825884518
SSP5,2017,33.470556027424
SSP5,2018,31.8843315272239
SSP5,2019,30.2774924029139
SSP5,2020,30.4436788155188
SSP5,2021,28.1721197329228
SSP5,2022,28.9848946265873
SSP5,2023,29.7321878489183
SSP5,2024,30.412024955147
SSP5,2025,31.0740936360829
SSP5,2026,29.1688074011637
SSP5,2027,29.9992580322509
SSP5,2028,31.1161659724025
SSP5,2029,32.026386568211
SSP5,2030,32.7166472940654
SSP5,2031,31.3791128263778
SSP5,2032,32.5725550703041
SSP5,2033,33.5620815871159
SSP5,2034,34.2624292350808
SSP5,2035,34.8530414476577
SSP5,2036,33.8539707986429
SSP5,2037,34.5637446031056
SSP5,2038,35.0606306386862
SSP5,2039,35.4925066086388
SSP5,2040,35.8258315026884
SSP5,2041,35.5297722967973
SSP5,2042,35.9138353411217
SSP5,2043,36.2774096387537
SSP5,2044,36.5526344957838
SSP5,2045,36.7411468401867
SSP5,2046,36.8679051134353
SSP5,2047,37.1353022882566
SSP5,2048,37.393031834142
SSP5,2049,37.7069940691387
SSP5,2050,38.1121723775581
SSP5,2051,38.482449800566
SSP5,2052,38.9932722938848
SSP5,2053,39.64457496195
SSP5,2054,40.4314383713634
SSP5,2055,41.4200878351664
SSP5,2056,41.9503810108655
SSP5,2057,42.9100706912787
SSP5,2058,43.9303141426823
SSP5,2059,44.9118166935224
SSP5,2060,45.7077867968099
SSP5,2061,46.0667006923656
SSP5,2062,46.936053035797
SSP5,2063,47.6721759704598
SSP5,2064,48.3696356942326
SSP5,2065,49.0838264960905
SSP5,2066,49.6302965385968
SSP5,2067,50.3473160028311
SSP5,2068,51.1887531762688
SSP5,2069,52.0784240188894
SSP5,2070,52.9332533195061
SSP5,2071,53.9283963838417
SSP5,2072,54.5870135680292
SSP5,2073,55.1592497237643
SSP5,2074,55.7047465964891
SSP5,2075,56.1392189905905
SSP5,2076,56.7750763634003
SSP5,2077,57.1443843068699
SSP5,2078,57.4271467366219
SSP5,2079,57.7077218713802
SSP5,2080,58.0914309544242
SSP5,2081,58.8478717546701
SSP5,2082,59.4647125622033
SSP5,2083,59.9161868766201
SSP5,2084,60.2163060010565
SSP5,2085,60.4829409480245
SSP5,2086,60.8373924134335
SSP5,2087,61.0550656969431
SSP5,2088,61.2270522408688
SSP5,2089,61.4160317506562
SSP5,2090,61.7411774178806
SSP5,2091,62.2837440332109
SSP5,2092,62.7976976489538
SSP5,2093,63.3486162922815
SSP5,2094,63.9685126467746
SSP5,2095,64.6477247744743
SSP5,2096,65.6117504073481
SSP5,2097,66.4613727933288
SSP5,2098,67.2615573204299
SSP5,2099,67.9624899649607
SSP5,2100,68.5377193351882
