iso3,lon,lat
BLM,-62.83261963,17.90558452
PRI,-66.46760029,18.22381647
AIA,-63.05857125,18.22569251
VGB,-64.50286318,18.50988414
JAM,-77.31881047,18.15522639
CYM,-80.87702592,19.42633116
BMU,-64.76349139,32.31013657
HMD,73.50521019,-53.08881702
SHN,-10.13841782,-24.91135054
MUS,57.84970019,-20.18554388
COM,43.68016319,-11.88421621
STP,6.72644287,0.44426003
CPV,-23.96723977,15.93614025
MLT,14.40375404,35.92102698
JEY,-2.12743081,49.22106421
GGY,-2.53048002,49.48437292
IMY,-4.53369508,54.2291019
FRO,-6.87055478,62.07402725
IOT,72.29881483,-7.14433123
SGP,103.81346766,1.35892102
NFK,167.95516933,-29.0349751
COK,-158.79121359,-19.81450837
TON,-174.86851227,-20.06655974
WLF,-177.05899602,-13.73810196
WSM,-172.1612493,-13.75459566
SLB,159.63809446,-8.90958321
TUV,178.52035313,-7.75906904
MDV,73.3022772,3.82777987
NRU,166.93313193,-0.52078288
FSM,155.26063332,6.96728114
SGS,-35.88231663,-54.67921915
FLK,-59.37610281,-51.73330728
VUT,167.70084414,-16.20126791
NIU,-169.86934604,-19.04891976
ASM,-170.39892092,-14.25494351
PLW,134.34803337,7.19763602
GUM,144.77193912,13.44379302
MNP,145.599955,16.25085974
BHR,50.54661935,26.05278429
FRA1,-109.22126424,10.29738939
MAC,113.55019686,22.1577852
BES,-67.81390416,12.66913792
NLD,5.58425874,52.2680309
CCK,96.86729695,-12.17590058
CXR,105.66252271,-10.49252335
UMI,-109.25990467,12.22290524
USA2,-75.01465823,18.40705002
TKL,-171.81627598,-8.96995128
NZL,171.47479228,-41.82991478
WB001,-171,-85.5
WB002,-153,-85.5
WB003,-135,-85.5
WB004,-117,-85.5
WB005,-99,-85.5
WB006,-81,-85.5
WB007,-63,-85.5
WB008,-45,-85.5
WB009,-27,-85.5
WB010,-9,-85.5
WB011,9,-85.5
WB012,27,-85.5
WB013,45,-85.5
WB014,63,-85.5
WB015,81,-85.5
WB016,99,-85.5
WB017,117,-85.5
WB018,135,-85.5
WB019,153,-85.5
WB020,171,-85.5
WB021,-171,-76.5
WB022,-153,-76.5
WB023,-135,-76.5
WB024,-117,-76.5
WB025,-99,-76.5
WB026,-81,-76.5
WB027,-63,-76.5
WB028,-45,-76.5
WB029,-27,-76.5
WB030,-9,-76.5
WB031,9,-76.5
WB032,27,-76.5
WB033,45,-76.5
WB034,63,-76.5
WB035,81,-76.5
WB036,99,-76.5
WB037,117,-76.5
WB038,135,-76.5
WB039,153,-76.5
WB040,171,-76.5
WB041,-171,-67.5
WB042,-153,-67.5
WB043,-135,-67.5
WB044,-117,-67.5
WB045,-99,-67.5
WB046,-81,-67.5
WB047,-63,-67.5
WB048,-45,-67.5
WB049,-27,-67.5
WB050,-9,-67.5
WB051,9,-67.5
WB052,27,-67.5
WB053,45,-67.5
WB054,63,-67.5
WB055,81,-67.5
WB056,99,-67.5
WB057,117,-67.5
WB058,135,-67.5
WB059,153,-67.5
WB060,171,-67.5
WB061,-171,-58.5
WB062,-153,-58.5
WB063,-135,-58.5
WB064,-117,-58.5
WB065,-99,-58.5
WB066,-81.01856223,-58.5258474
WB067,-72.83326164,-54.06264297
WB068,-70.68880417,-54.31561737
WB069,-62.77496977,-58.7077689
WB070,-71.20057554,-54.10015358
WB071,-71.39973086,-54.04997075
WB072,-71.99459703,-54.70961109
WB073,-71.97891399,-54.49564645
WB074,-71.99385421,-54.53310413
WB075,-45.04989018,-58.54547216
WB076,-36.29552481,-54.19507737
WB077,-37.11745168,-54.09296207
WB078,-36.04476246,-54.78911895
WB079,-26.998524,-58.5007333
WB080,-9,-58.5
WB081,9.00026351,-58.50019247
WB082,27,-58.5
WB083,45,-58.5
WB084,63,-58.5
WB085,81,-58.5
WB086,99,-58.5
WB087,117,-58.5
WB088,135,-58.5
WB089,152.99939729,-58.50039743
WB090,171,-58.5
WB091,-171,-49.5
WB092,-153,-49.5
WB093,-135,-49.5
WB094,-117,-49.5
WB095,-99,-49.5
WB096,-82.1260097,-49.63211919
WB097,-72.49149541,-54.01412831
WB098,-72.63803428,-54.03678428
WB099,-72.00356138,-53.54559733
WB100,-61.02860991,-49.78138652
WB101,-71.93610126,-54.00442624
WB102,-71.76251855,-52.62052967
WB103,-71.59527199,-53.05680089
WB104,-44.98696617,-49.52717783
WB105,-27,-49.5
WB106,-9,-49.5
WB107,9,-49.5
WB108,27,-49.5
WB109,45.00075783,-49.50108868
WB110,62.96521903,-49.50109301
WB111,81.00245067,-49.49882652
WB112,99,-49.5
WB113,117,-49.5
WB114,135,-49.5
WB115,153,-49.5
WB116,171.08076895,-49.70329353
WB117,167.25655038,-45.3150092
WB118,167.04457717,-45.35291424
WB119,-170.99689439,-40.49805613
WB120,-153,-40.5
WB121,-135,-40.5
WB122,-117,-40.5
WB123,-99,-40.5
WB124,-81.69306487,-40.54436077
WB125,-74.16458704,-45.14740414
WB126,-74.09840989,-45.14241651
WB127,-58.7472198,-41.62736463
WB128,-45,-40.5
WB129,-27,-40.5
WB130,-8.99979113,-40.50017657
WB131,9,-40.5
WB132,27,-40.5
WB133,45,-40.5
WB134,63,-40.5
WB135,81.00013806,-40.50009984
WB136,99,-40.5
WB137,117,-40.5
WB138,134.5411858,-40.7634096
WB139,143.99897928,-38.54116291
WB140,153.90987718,-40.79991664
WB141,170.5779419,-40.56296179
WB142,-170.99984498,-31.50005045
WB143,-153.00020624,-31.50009279
WB144,-135,-31.5
WB145,-117.012486,-31.52121572
WB146,-99,-31.5
WB147,-81.02351795,-31.49950489
WB148,-71.66708358,-29.78800098
WB149,-71.99460113,-34.29520669
WB150,-56.04566907,-35.2729503
WB151,-43.84568651,-31.87685383
WB152,-27,-31.5
WB153,-9,-31.5
WB154,8.67624232,-31.65048198
WB155,18.14218666,-32.19368109
WB156,18.04790312,-33.1093764
WB157,30.23649889,-32.98291219
WB158,45,-31.5
WB159,63,-31.5
WB160,81,-31.5
WB161,99,-31.5
WB162,114.10527458,-32.4890749
WB163,131.49302565,-34.2150805
WB164,157.06830104,-31.93927752
WB165,170.99657371,-31.54634518
WB166,174.17987242,-36.17274223
WB167,174.45498484,-36.26640555
WB168,-170.99831385,-22.50135659
WB169,-152.99958356,-22.50013894
WB170,-134.98671158,-22.52991145
WB171,-116.98837727,-22.52084542
WB172,-98.99999857,-22.49999912
WB173,-81.0000014,-22.49999477
WB174,-71.18282625,-22.29393234
WB175,-40.70601057,-23.76240767
WB176,-26.99999184,-22.50000681
WB177,-9,-22.5
WB178,7.0235081,-22.75355351
WB179,34.91171086,-24.30285185
WB180,44.77574129,-22.83217408
WB181,63.01586433,-22.50432452
WB182,81,-22.5
WB183,99,-22.5
WB184,112.59044921,-21.71063493
WB185,155.87649626,-22.08460463
WB186,171.03439412,-22.54716447
WB187,-170.99501514,-13.49832365
WB188,-153.00324327,-13.49668792
WB189,-135.01074557,-13.5304874
WB190,-117,-13.5
WB191,-99,-13.5
WB192,-82.77385488,-13.88949305
WB193,-71.61240022,-17.6684415
WB194,-37.39293109,-14.83704461
WB195,-26.97559998,-13.51495774
WB196,-9.00021369,-13.49983992
WB197,6.3780413,-13.42752617
WB198,46.82913422,-13.22802998
WB199,63.00004766,-13.50002199
WB200,81,-13.5
WB201,98.99967912,-13.50016033
WB202,116.52419271,-13.43424278
WB203,135.42906064,-11.97959783
WB204,126.0575365,-14.1947499
WB205,126.01671171,-14.4768243
WB206,153.33488242,-13.55260202
WB207,148.73208731,-9.09124088
WB208,170.97657171,-13.48509342
WB209,179.26979138,-18.0205033
WB210,-170.99998027,-4.50001312
WB211,-152.99990837,-4.49997662
WB212,-134.99881249,-4.49900128
WB213,-117,-4.5
WB214,-99.02621742,-4.51289367
WB215,-85.12797916,-4.64266361
WB216,-40.95619259,-1.6272763
WB217,-26.79668392,-4.44003717
WB218,-8.99975858,-4.49984538
WB219,5.76437091,-4.8707764
WB220,47.00115736,-4.69986989
WB221,63.00098177,-4.49996896
WB222,81.00023461,-4.49996558
WB223,98.14634637,-4.75820553
WB224,117.60967214,-4.93020939
WB225,125.98969018,-2.14109989
WB226,119.80139375,-0.03599041
WB227,119.66376909,-0.00131547
WB228,143.60405522,-8.46430919
WB229,133.30444196,-4.40614536
WB230,153.78787685,-4.21997077
WB231,145.12131689,-8.44478062
WB232,146.76635732,-9.05633011
WB233,146.96615197,-9.04694075
WB234,170.99966324,-4.50026121
WB235,-171.00004019,4.49999487
WB236,-152.99872616,4.50061007
WB237,-135,4.5
WB238,-117,4.5
WB239,-99.00209865,4.50115535
WB240,-81.21817048,8.9771637
WB241,-84.14506461,4.46845228
WB242,-77.03547342,8.75053074
WB243,-77.87843082,9.08122817
WB244,-82.01965547,9.02639097
WB245,-56.59587601,7.69809621
WB246,-54.05915174,5.51617245
WB247,-61.085527,9.0776935
WB248,-44.14414458,4.74907641
WB249,-26.99994648,4.50008163
WB250,-10.22952719,3.45975585
WB251,4.44307937,2.78047039
WB252,50.32197624,3.64525158
WB253,63,4.5
WB254,81.03313951,4.40273059
WB255,80.8796662,9.10723317
WB256,98.65932006,4.73807594
WB257,117.14920068,5.09538397
WB258,125.39196893,9.00192973
WB259,135.12357269,4.51339407
WB260,152.99913476,4.49949807
WB261,171.00034508,4.50000143
WB262,-171.00000188,13.49999584
WB263,-153,13.5
WB264,-135,13.5
WB265,-117.00001982,13.50000816
WB266,-94.45441791,18.15183055
WB267,-99.89632455,12.91884086
WB268,-87.9005476,10.8804722
WB269,-78.90773856,14.26514187
WB270,-72.00812401,9.49658231
WB271,-72.00271581,9.57798731
WB272,-72.04378704,9.8271343
WB273,-72.00504167,12.19654
WB274,-81.84109033,9.10970753
WB275,-79.02669507,9.12463788
