timeindep,conflict,ltsc0,Dec-50,Dec-60,Dec-70,Dec-80,Dec-90,Dec-00,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0
201,0,4.753590191,0,0,0,1,0,0,3,0,4.753590107,0,34,33,3.496507645,5.303304672,6.385216236,200.0530396,6.385216236,6.923662186,-0.53844595,0.883969367,4.202028275,12.36624432,10.1325531,58.78405762,48.16600418
202,0,4.762173935,0,0,0,1,0,0,3,0,4.762174129,0,35,34,3.526360512,5.308267593,6.837857246,196.806488,6.837857246,6.923662186,-0.085804939,0.882846415,4.204267979,12.37615299,10.1675787,58.93739319,48.41977692
203,0,4.770684624,0,0,0,1,0,0,3,0,4.770684719,0,36,35,3.555348158,5.313206196,6.604970455,182.9942627,6.604970455,6.923662186,-0.31869173,0.881727338,4.206442833,12.38612366,10.22839832,59.09029007,48.79646301
204,0,4.779123493,0,0,0,1,0,0,3,0,4.779123306,0,37,36,3.583518982,5.318120003,6.473376274,184.6268005,6.473376274,6.923662186,-0.450285912,0.880612135,4.208554268,12.39615536,10.25983429,59.24275589,49.0330162
205,0,4.787491743,0,0,0,1,0,0,3,0,4.787491798,0,38,37,3.610917807,5.323009968,7.400349617,188.2949066,7.400349617,6.923662186,0.476687431,0.881018639,4.217869282,12.40627003,10.28429127,59.39491653,49.2359581
206,0,4.795790546,0,0,0,1,0,0,3,0,4.795790672,0,39,38,3.637586117,5.327876091,7.531731129,180.8205414,7.531731129,6.923662186,0.608068943,0.88143295,4.227167606,12.41646576,10.30653286,59.54676819,49.4279747
207,0,4.804021045,0,0,0,1,0,0,3,0,4.804020882,0,40,39,3.663561583,5.332718849,7.16021347,165.0393372,7.16021347,6.923662186,0.236551285,0.88185519,4.236450672,12.42669773,10.33763504,59.6981163,49.66221619
208,0,4.812184355,0,0,0,1,0,0,3,0,4.812184334,0,41,40,3.68887949,5.337538242,6.788827896,180.1212006,6.788827896,6.923662186,-0.13483429,0.882285357,4.24571991,12.43691254,10.36322021,59.84871674,49.86972809
209,0,4.820281566,0,0,0,0,1,0,3,0,4.820281506,0,42,41,3.713572025,5.34233427,7.299379826,193.5202789,7.299379826,6.923662186,0.37571764,0.88272357,4.254976273,12.44708252,10.3703146,59.9984436,49.98783493
210,0,4.828313737,0,0,0,0,1,0,3,0,4.828313828,0,43,42,3.737669706,5.34710741,7.405079365,195.2690735,7.405079365,6.923662186,0.481417179,0.881787539,4.257546902,12.45713043,10.35433578,60.14693451,49.99398041
211,0,4.836281907,0,0,0,0,1,0,3,0,4.836281776,0,44,43,3.76120019,5.351858139,6.796096325,189.473114,6.796096325,6.923662186,-0.127565861,0.88085252,4.26005125,12.46709824,10.3739481,60.29440308,50.17133713
212,0,4.844187086,0,0,0,0,1,0,3,0,4.84418726,0,45,44,3.784189701,5.356586456,6.974987984,197.7991486,6.974987984,6.923662186,0.051325798,0.879918516,4.262489796,12.47720718,10.38908195,60.44192505,50.32665634
213,0,4.852030264,0,0,0,0,1,0,3,1,0,0,1,45,3.80666256,5.361292362,7.066156387,189.1925659,7.066156387,6.923662186,0.142494202,0.878985524,4.264864445,12.4877491,10.41714096,60.59093475,50.54428482
214,0,4.859812404,0,0,0,0,1,0,3,0,4.85981226,1,1,1,0,5.365975857,7.194560528,187.5083008,7.194560528,6.923662186,0.270898342,0.878053486,4.267175198,12.49888992,10.43040276,60.74225998,50.68980026
215,0,4.86753445,0,0,0,0,1,0,3,1,0,0,1,1,0,5.370637894,6.462872028,191.4621429,6.462872028,6.923662186,-0.460790157,0.874784172,4.258041859,12.51072788,10.45593071,60.89640045,50.89460373
216,0,4.875197323,0,0,0,0,1,0,3,0,4.875197411,1,1,1,0,5.375278473,7.077570438,189.2935333,7.077570438,6.923662186,0.153908253,0.871796966,4.250182152,12.52309418,10.48796272,61.05255508,51.13088608
217,0,4.882801923,0,0,0,0,1,0,3,0,4.88280201,0,2,1,0,5.379897118,7.991200924,198.4338531,7.991200924,6.923662186,1.067538738,0.869102001,4.243652821,12.53556919,10.51937866,61.20870209,51.36404419
218,0,4.890349128,0,0,0,0,1,0,3,0,4.890348911,0,3,2,0.693147182,5.384495258,7.07382822,175.6748199,7.07382822,6.923662186,0.150166035,0.866709888,4.238513947,12.54760075,10.55543613,61.36214828,51.61976624
219,0,4.8978398,0,0,0,0,0,1,3,0,4.897840023,0,4,3,1.098612309,5.389071941,7.394153118,176.2828979,7.394153118,6.923662186,0.470490932,0.864631832,4.234827995,12.55882072,10.58519363,61.51109314,51.8445816
