humanitarian_needs,displaced_persons,climate_affected_persons,conflict,temp,gdp,pop,urban,iso3,lat,lon,year
406429895,3487075,833681.606398316,0,64,46.1647967123174,34.5549766430185,25.8722080579886,AFG,33.83626707,66.00844769,2014
405400000,4099462,833681.606398316,0,64,47.643,35.3521753410106,26.830062399966,AFG,33.83626707,66.00844769,2015
490933024,4668070,833681.606398316,0,64,49.3664589528477,36.1667548652555,27.7598904376768,AFG,33.83626707,66.00844769,2016
409413812,4795330,833681.606398316,0,64,51.3823179582117,36.9964780933906,28.6633800540614,AFG,33.83626707,66.00844769,2017
598923998,5098267,833681.606398316,0,64,53.6874474871518,37.8371865098427,29.5519216877426,AFG,33.83626707,66.00844769,2018
611759986,5531993,833681.606398316,0,64,56.2787180107279,38.6847215990385,30.436905777343,AFG,33.83626707,66.00844769,2019
3242600000,5719935,833681.606398316,0,64,59.153,39.5349248454047,31.3297227614851,AFG,33.83626707,66.00844769,2020
1887896620,6433473,833681.606398316,0,64,62.3139315386767,40.383948878539,32.2391495963176,AFG,33.83626707,66.00844769,2021
4442200000,9210170,3901815.07664832,0,64,65.7922211610622,41.2291909087235,33.1635093080925,AFG,33.83626707,66.00844769,2022
0,11186,241543.5225,0,39,118.137422679832,21.2260223636102,61.7221690668283,AGO,-12.29231569,17.53698501,2014
0,15106,241543.5225,0,39,127.295,21.7758912243679,62.503596126965,AGO,-12.29231569,17.53698501,2015
0,13155,241543.5225,0,39,136.720557588294,22.3320899285267,63.2859826143332,AGO,-12.29231569,17.53698501,2016
0,16111,241543.5225,0,39,146.111263447092,22.8929873055815,64.0685529043045,AGO,-12.29231569,17.53698501,2017
0,17147,241543.5225,0,39,155.258090511745,23.456501798753,64.8492250656822,AGO,-12.29231569,17.53698501,2018
0,18948,241543.5225,0,39,163.952011717598,24.0205518512616,65.6259171672694,AGO,-12.29231569,17.53698501,2019
3148709377,20598,241543.5225,0,39,171.984,24.5830559063278,66.3965472778695,AGO,-12.29231569,17.53698501,2020
534319123,24095,241543.5225,0,39,179.21274029192,25.1420584929336,67.1593938753064,AGO,-12.29231569,17.53698501,2021
595687989,28274,1384827.19491625,0,39,185.767765516808,25.696108483106,67.9141770734873,AGO,-12.29231569,17.53698501,2022
0,25254,118156.977679284,0,64,26.4286458343931,3.22752893279471,55.810177145838,ALB,41.14248206,20.0538192,2014
0,52559,118156.977679284,0,64,26.919,3.23084597474332,56.7589425029364,ALB,41.14248206,20.0538192,2015
0,34820,118156.977679284,0,64,27.4911263312843,3.23413881358212,57.6976140501647,ALB,41.14248206,20.0538192,2016
0,30929,118156.977679284,0,64,28.142183683296,3.23735883379569,58.6256966944228,ALB,41.14248206,20.0538192,2017
0,34583,118156.977679284,0,64,28.8604778696654,3.24033766382189,59.5425500150469,ALB,41.14248206,20.0538192,2018
0,34034,118156.977679284,0,64,29.6343147040233,3.24290693209853,60.4475335913731,ALB,41.14248206,20.0538192,2019
0,33151,118156.977679284,0,64,30.452,3.24489826706346,61.3400070027377,ALB,41.14248206,20.0538192,2020
0,42178,118156.977679284,0,64,31.3045367161763,3.24617167339675,62.2194090316551,ALB,41.14248206,20.0538192,2021
0,55253,269756.176666834,0,64,32.1937163909332,3.24670066074747,63.0854952733533,ALB,41.14248206,20.0538192,2022
0,152,19367.5015,0,43,410.824206288083,9.37690715033431,85.1121637668549,ARE,23.90578306,54.3007956,2014
0,194,19367.5015,0,43,439.9,9.71489679467081,85.3519661798845,ARE,23.90578306,54.3007956,2015
0,263,19367.5015,0,43,464.143918160995,10.0100247359247,85.5939164792451,ARE,23.90578306,54.3007956,2016
0,344,19367.5015,0,43,484.256514562416,10.2711158773252,85.8376567358056,ARE,23.90578306,54.3007956,2017
0,441,19367.5015,0,43,501.893351883339,10.5080166112395,86.0813668919832,ARE,23.90578306,54.3007956,2018
0,336,19367.5015,0,43,518.709992802841,10.7305733300346,86.3232268901949,ARE,23.90578306,54.3007956,2019
0,362,19367.5015,0,43,536.362,10.9486324260779,86.5614166728577,ARE,23.90578306,54.3007956,2020
0,375,19367.5015,0,43,556.162870362545,11.1699731628441,86.7945083446628,ARE,23.90578306,54.3007956,2021
0,786,231142.87103195,0,43,578.057837612821,11.3941062882389,87.0226426593974,ARE,23.90578306,54.3007956,2022
0,413,250021.622814758,0,64,627.436100602747,41.6035749252175,93.1158636104218,ARG,-35.38755136,-65.17819064,2014
0,346,250021.622814758,0,64,660.362728836691,41.8662849198396,93.2877396830893,ARG,-35.38755136,-65.17819064,2015
0,339,250021.622814758,0,64,691.169922564595,42.1203143890889,93.4551783940459,ARG,-35.38755136,-65.17819064,2016
0,473,250021.622814758,0,64,719.976853543072,42.3656666533658,93.6182885073922,ARG,-35.38755136,-65.17819064,2017
0,601,250021.622814758,0,64,747.599602179281,42.6017496854597,93.7773031158885,ARG,-35.38755136,-65.17819064,2018
737611378,1031,250021.622814758,0,64,774.854248880384,42.8279714581602,93.9324553122949,ARG,-35.38755136,-65.17819064,2019
2.01e+09,1288,250021.622814758,0,64,802.556874053541,43.0437399442566,94.0839781893719,ARG,-35.38755136,-65.17819064,2020
0,1898,250021.622814758,0,64,831.345112927874,43.2485501030208,94.232070650452,ARG,-35.38755136,-65.17819064,2021
1786198773,2449,3412796.71581476,0,64,861.142820020356,43.4422448396538,94.3767948411568,ARG,-35.38755136,-65.17819064,2022
0,18126,31145.5394593137,0,23,20.1787235075825,3.07798727574305,67.5878864446735,ARM,40.28813415,44.93230122,2014
