humanitarian_needs,scenario,displaced_persons,climate_disasters,conflict,iso3,year
10.6,ssp1,3845625.5,1.7082827091217,0.641635954380035,AFG,2018
6.41,ssp1,46202.828125,1.48873221874237,0.964528679847717,AFG,2019
14,ssp1,1872063.125,2.07278513908386,0.915587663650513,AFG,2020
18.4,ssp1,2837383.75,1.55991840362549,0.719794273376465,AFG,2021
24.42,ssp1,2909325.25,1.6309620141983,0.721170961856842,AFG,2022
28.4,ssp1,2931179.75,1.68188488483429,0.725927293300629,AFG,2023
0,ssp1,2902390.25,1.74351537227631,0.729030430316925,AFG,2024
0,ssp1,2863614,1.81376719474792,0.732472538948059,AFG,2025
0,ssp1,3174081.75,1.9063538312912,0.760214328765869,AFG,2026
0,ssp1,3197074,2.0114917755127,0.768992006778717,AFG,2027
0,ssp1,3140143,2.13675785064697,0.769778966903687,AFG,2028
0,ssp1,3066884,2.28434944152832,0.778236627578735,AFG,2029
0,ssp1,3018744.25,2.45032358169556,0.791328370571137,AFG,2030
0,ssp1,3115894,2.61975741386414,0.824120342731476,AFG,2031
0,ssp1,3238246,2.79956865310669,0.843152046203613,AFG,2032
0,ssp1,3318410.5,2.97329759597778,0.862377107143402,AFG,2033
0,ssp1,3332117.5,3.09025764465332,0.8794224858284,AFG,2034
0,ssp1,3287893.5,3.12266540527344,0.895533561706543,AFG,2035
0,ssp1,3268607.25,3.07574224472046,0.912178337574005,AFG,2036
0,ssp1,3349210.75,2.96698975563049,0.934198260307312,AFG,2037
0,ssp1,3392296.75,2.83644723892212,0.952227175235748,AFG,2038
0,ssp1,3379575.25,2.69291305541992,0.963939011096954,AFG,2039
0,ssp1,3335287.5,2.54066634178162,0.970939338207245,AFG,2040
0,ssp1,3335045.75,2.56661224365234,0.967287242412567,AFG,2041
0,ssp1,3390196.25,2.59421467781067,0.97036224603653,AFG,2042
0,ssp1,3423773.25,2.62265372276306,0.971993505954742,AFG,2043
0,ssp1,3398217,2.65116167068481,0.971869587898254,AFG,2044
0,ssp1,3338763.5,2.68049216270447,0.970425546169281,AFG,2045
0,ssp1,3404052.75,2.71169304847717,0.969962596893311,AFG,2046
0,ssp1,3444591.75,2.74437236785889,0.971715927124023,AFG,2047
0,ssp1,3429995.5,2.77731513977051,0.971808016300201,AFG,2048
0,ssp1,3372807.5,2.81068205833435,0.970516264438629,AFG,2049
0,ssp1,3304201.25,2.84438705444336,0.968754947185516,AFG,2050
0,ssp1,3468552,2.87810683250427,0.971583604812622,AFG,2051
0,ssp1,3440335,2.8909764289856,0.97161340713501,AFG,2052
0,ssp1,3380491.75,2.89684295654297,0.970246851444244,AFG,2053
0,ssp1,3308425.5,2.90391445159912,0.968448758125305,AFG,2054
0,ssp1,3228569.25,2.91200685501099,0.96676766872406,AFG,2055
0,ssp1,3422980.25,2.9207329750061,0.971064209938049,AFG,2056
0,ssp1,3354991.75,2.92981290817261,0.969096958637238,AFG,2057
0,ssp1,3276946.25,2.93893718719482,0.967452883720398,AFG,2058
0,ssp1,3192913,2.94800043106079,0.965713322162628,AFG,2059
0,ssp1,3142610,2.9573335647583,0.963575482368469,AFG,2060
0,ssp1,3312980,2.95895957946777,0.967555344104767,AFG,2061
0,ssp1,3242981.75,2.96051287651062,0.965663552284241,AFG,2062
0,ssp1,3186645.75,2.96204376220703,0.963357388973236,AFG,2063
0,ssp1,3181994.5,2.963463306427,0.960736334323883,AFG,2064
0,ssp1,3201937.25,2.96473121643066,0.957830429077148,AFG,2065
0,ssp1,3221937.75,2.96590662002564,0.962107539176941,AFG,2066
0,ssp1,3220051,2.96708512306213,0.959407448768616,AFG,2067
0,ssp1,3241674.5,2.96671366691589,0.956445217132568,AFG,2068
0,ssp1,3277018.5,2.96552181243897,0.953329801559448,AFG,2069
0,ssp1,3322929.75,2.96454453468323,0.950033664703369,AFG,2070
0,ssp1,3288095.5,2.96269178390503,0.954266011714935,AFG,2071
0,ssp1,3325775.25,2.96076703071594,0.951141774654388,AFG,2072
0,ssp1,3375181,2.95878648757935,0.947976052761078,AFG,2073
0,ssp1,3430121,2.95665836334229,0.944866001605988,AFG,2074
0,ssp1,3487190.75,2.95437216758728,0.941899538040161,AFG,2075
0,ssp1,3440855.25,2.952152967453,0.944963812828064,AFG,2076
0,ssp1,3496400.25,2.95003724098206,0.941961407661438,AFG,2077
0,ssp1,3549759.5,2.94785833358765,0.939119219779968,AFG,2078
0,ssp1,3598639,2.94571781158447,0.936271607875824,AFG,2079
0,ssp1,3643042.75,2.94356298446655,0.934103608131409,AFG,2080
0,ssp1,3610141.25,2.94395422935486,0.935537874698639,AFG,2081
0,ssp1,3637177.5,2.94437193870544,0.93278831243515,AFG,2082
0,ssp1,3660760,2.94482970237732,0.930078327655792,AFG,2083
0,ssp1,3680423,2.94538187980652,0.92739874124527,AFG,2084
0,ssp1,3696439,2.94593620300293,0.924756824970245,AFG,2085
0,ssp1,3682293.75,2.94652247428894,0.925031960010529,AFG,2086
0,ssp1,3696703.5,2.9471583366394,0.92245626449585,AFG,2087
0,ssp1,3707697.75,2.94789671897888,0.920194923877716,AFG,2088
0,ssp1,3715257.5,2.9486289024353,0.917961061000824,AFG,2089
0,ssp1,3720600.5,2.94937658309937,0.915748596191406,AFG,2090
0,ssp1,3715141.5,2.95015907287598,0.915032386779785,AFG,2091
0,ssp1,3717981.25,2.95096254348755,0.912942409515381,AFG,2092
0,ssp1,3719133.5,2.95179843902588,0.91082626581192,AFG,2093
