humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,0,64,0,0.419584244,8.077196121,8.995233536,4.605170186,0,0,0,2.397895336,4.60517025,8.077196121,41.42458129,4.60517025
0,0,0,64,0,0.439583629,8.078841209,9.011706352,4.615120517,0,0,0,2.484906673,4.615120411,8.078841209,41.59011088,4.615120411
0,0,0,43,0,0.407430828,8.015112877,11.14534855,3.36729583,0,0,0,2.995732307,3.367295742,8.015112877,37.52968569,3.367295742
0,0,0,43,0,0.417796642,8.049460411,11.1248951,3.401197382,0,0,0,3.044522524,3.401197433,8.049460411,37.83796407,3.401197433
0,0,0,43,0,0.428660154,8.078368187,11.1200304,3.433987204,0,0,0,3.091042519,3.433987141,8.078368187,38.18604212,3.433987141
0,0,0,43,0,0.440062732,8.122447014,11.16029835,3.465735903,0,0,0,3.135494232,3.465735912,8.122447014,38.67864667,3.465735912
0,0,0,43,0,0.452049851,8.204852104,11.1692543,3.496507561,0,0,0,3.178053856,3.496507645,8.204852104,39.05338213,3.496507645
0,0,0,43,0,0.464671552,8.330594063,11.0909214,3.526360525,0,0,0,3.218875885,3.526360512,8.330594063,39.11058741,3.526360512
0,0,0,43,0,0.470257074,8.492006302,11.02396584,3.555348061,0,0,0,3.258096457,3.555348158,8.492006302,39.19403556,3.555348158
0,0,0,43,0,0.475914508,8.665155411,10.88244343,3.583518938,0,0,0,3.295836926,3.583518982,8.665155411,38.99744212,3.583518982
0,0,0,43,0,0.481644899,8.824477196,10.75553799,3.610917913,0,0,0,3.33220458,3.610917807,8.824477196,38.83736478,3.610917807
0,0,0,43,0,0.487449259,8.951352119,10.6124382,3.63758616,0,0,0,3.367295742,3.637586117,8.951352119,38.60365832,3.637586117
0,0,0,43,0,0.493324488,8.924215317,10.65379238,3.663561646,0,0,0,3.401197433,3.663561583,8.924215317,39.03082515,3.663561583
0,0,0,43,0,0.517657816,8.981219292,10.67054367,3.688879454,0,0,0,3.433987141,3.68887949,8.981219292,39.36234931,3.68887949
0,0,0,43,0,0.541991174,9.035148621,10.68530178,3.713572067,0,0,0,3.465735912,3.713572025,9.035148621,39.68063822,3.713572025
0,0,0,43,0,0.566324532,9.086317062,10.69840431,3.737669618,0,0,0,3.496507645,3.737669706,9.086317062,39.98710076,3.737669706
0,0,0,43,0,0.59065789,9.134994507,10.71011543,3.761200116,0,0,0,3.526360512,3.76120019,9.134994507,40.2828874,3.76120019
0,0,0,64,0,0.425706476,10.51605034,9.238938332,3.091042453,0,0,0,2.302585125,3.091042519,10.51605034,28.55795061,5.220355988
0,0,0,64,0,0.430633754,10.52603436,9.183864594,3.135494216,0,0,0,2.397895336,3.135494232,10.52603436,28.79595431,5.225746632
0,0,0,64,0,0.436530858,10.53549194,9.059058189,3.17805383,0,0,0,2.484906673,3.178053856,10.53549194,28.79017458,5.231108665
0,0,0,64,0,0.443625808,10.54456234,9.13466835,3.218875825,0,0,0,2.564949274,3.218875885,10.54456234,29.40336312,5.236442089
0,0,0,64,0,0.452200443,10.55343437,9.212245941,3.258096538,0,0,0,2.639057398,3.258096457,10.55343437,30.01438661,5.241746902
0,0,0,64,0,0.462602913,10.56224632,9.291251183,3.295836866,0,0,0,2.708050251,3.295836926,10.56224632,30.62244818,5.247024059
0,0,0,64,0,0.470526665,10.57103252,9.363732338,3.33220451,0,0,0,2.77258873,3.33220458,10.57103252,31.20187113,5.25227356
0,0,0,64,0,0.478586614,10.57977772,9.388813019,3.36729583,0,0,0,2.833213329,3.367295742,10.57977772,31.61491093,5.257495403
0,0,0,64,0,0.486785114,10.58850384,9.415480614,3.401197382,0,0,0,2.890371799,3.401197433,10.58850384,32.02390801,5.262690067
0,0,0,64,0,0.495124549,10.59722519,9.37455368,3.433987204,0,0,0,2.944438934,3.433987141,10.59722519,32.19209739,5.267858028
0,0,0,64,0,0.503608584,10.60689163,9.572382927,3.465735903,0,0,0,2.995732307,3.465735912,10.60689163,33.17535119,5.272999763
0,0,0,64,0,0.523645401,10.61406136,9.610863686,3.496507561,0,0,0,3.044522524,3.496507645,10.61406136,33.60445755,5.278114796
0,0,0,64,0,0.543682158,10.62118053,9.64740181,3.526360525,0,0,0,3.091042519,3.526360512,10.62118053,34.02021691,5.283203602
