Model,Scenario (History),Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2008,2010
History,World Bank (WDI),AFG,GDP|PPP,billion US$2005/yr,,,,,,22.3722852520724,28.5840821593041,37.237284183226
History,World Bank (WDI),AGO,GDP|PPP,billion US$2005/yr,,29.0075762832771,34.0109522537772,26.9171959846784,36.684445514136,60.0143002406138,99.3555182736248,105.893446628597
History,World Bank (WDI),ALB,GDP|PPP,billion US$2005/yr,11.3420242466794,12.5470346839452,12.8749043623782,11.3136160302215,14.757523364834,19.1882796384374,22.9793109248455,24.5684451718531
History,World Bank (WDI),ARE,GDP|PPP,billion US$2005/yr,125.263301890431,116.810791752228,132.937947207017,160.021273865846,209.547670825627,272.055195562896,318.780980577905,318.142305981801
History,World Bank (WDI),ARG,GDP|PPP,billion US$2005/yr,283.432198765924,249.273141820397,243.456921776381,334.380088166196,379.736532229102,419.048847404357,527.234488323528,580.427430586597
History,World Bank (WDI),ARM,GDP|PPP,billion US$2005/yr,,,10.4139328943954,5.49935322208569,7.06074619260926,12.5594969677725,17.2876943790795,15.1526194721872
History,World Bank (WDI),ATG,GDP|PPP,billion US$2005/yr,0.51484795297219,0.665960486245277,0.929282309665183,1.02680399599166,1.2681955866512,1.55714820524238,1.96603783457492,1.65407157330391
History,World Bank (WDI),AUS,GDP|PPP,billion US$2005/yr,294.459347303813,337.805299875199,409.207104002598,461.335692600668,570.056186893631,666.878050042658,739.868842638529,
History,World Bank (WDI),AUT,GDP|PPP,billion US$2005/yr,158.495602976268,170.296328962165,196.310320972838,217.988036982475,254.573383442022,276.672160743033,301.607982438694,296.832090871113
History,World Bank (WDI),AZE,GDP|PPP,billion US$2005/yr,,,34.0333598248191,14.2464121645054,20.0406426153139,37.7309654915168,70.3137379765651,80.6955613888049
History,World Bank (WDI),BDI,GDP|PPP,billion US$2005/yr,1.77788773174623,2.29112830905199,2.74969333045668,2.42129309602003,2.25362904094254,2.50991295844563,2.85654864574888,3.07183243443574
History,World Bank (WDI),BEL,GDP|PPP,billion US$2005/yr,205.001806381026,214.866184634422,250.142181330986,270.709741260415,311.622228486415,337.213123299972,359.777185721981,357.476003901398
History,World Bank (WDI),BEN,GDP|PPP,billion US$2005/yr,4.09464044011477,5.10969467460609,5.33164692989297,6.56346573075238,8.51528780613102,10.2989869603183,11.7863579698106,12.6012667598432
History,World Bank (WDI),BFA,GDP|PPP,billion US$2005/yr,4.48940643577634,5.48469830793653,6.34526881819145,7.68703889629995,10.6498197069826,14.297802800859,16.4088828629429,18.5528068306708
History,World Bank (WDI),BGD,GDP|PPP,billion US$2005/yr,54.5672163139297,65.4864979448686,78.6462811690426,97.495922437714,125.676639267621,163.728142377105,197.306179871577,221.296537496719
History,World Bank (WDI),BGR,GDP|PPP,billion US$2005/yr,51.7149031134857,60.9632408954978,65.6985675072698,57.5493925076112,58.2072950362711,75.9958083540873,91.5080680620996,86.6480745673215
History,World Bank (WDI),BHR,GDP|PPP,billion US$2005/yr,7.56685752346286,7.04601434867164,8.82747498205435,12.2578550312156,15.1414905706583,20.344224752201,24.9992891776845,
History,World Bank (WDI),BHS,GDP|PPP,billion US$2005/yr,4.47052396455308,5.36863476553656,6.04748667371346,6.01858038250511,7.75594162427717,8.41552459726079,8.1793275464979,7.8072826537179
History,World Bank (WDI),BIH,GDP|PPP,billion US$2005/yr,,,,5.45721015391279,18.5234383519248,23.5932894841059,28.2203096325596,27.6182914112301
History,World Bank (WDI),BLR,GDP|PPP,billion US$2005/yr,,,65.5566313238146,42.8038357073647,58.1294859742462,83.4915274636557,110.006369466,118.571850227831
History,World Bank (WDI),BLZ,GDP|PPP,billion US$2005/yr,0.487934298684978,0.497147196886366,0.790210979527103,1.04799935022419,1.40404184781573,1.82501701676289,2.00497263692954,2.06411612365263
History,World Bank (WDI),BOL,GDP|PPP,billion US$2005/yr,20.2278512792121,18.3467634947242,20.4689596795541,25.0208672774045,29.6319011560203,34.5015360080614,40.1314595261797,43.1903824549642
History,World Bank (WDI),BRA,GDP|PPP,billion US$2005/yr,920.935004812106,972.00818297958,1073.70399345353,1248.85605519457,1379.54884137069,1582.64236338872,1835.59985132636,1960.3605712403
History,World Bank (WDI),BRB,GDP|PPP,billion US$2005/yr,3.71671492325587,3.55657865073816,4.17705513553474,4.10657360876991,4.86224437980109,4.85954224890883,5.05879711905629,
History,World Bank (WDI),BRN,GDP|PPP,billion US$2005/yr,15.2553112857,12.6633877264869,12.7053885781864,14.8398009739188,15.8541082175286,17.5668470302451,18.0116087223159,
History,World Bank (WDI),BTN,GDP|PPP,billion US$2005/yr,,0.541945445171011,0.937808755786575,1.13740803724292,1.54418889622108,2.29445632354028,3.0260730593095,3.47007792561412
History,World Bank (WDI),BWA,GDP|PPP,billion US$2005/yr,3.4195796796747,5.50379539560252,9.60493116325496,11.7127639761093,16.7546785807852,21.6494228571651,24.5372899485111,25.0118772486559
History,World Bank (WDI),CAF,GDP|PPP,billion US$2005/yr,2.17234278899482,2.40828807462909,2.40667656320542,2.52696555366866,2.83452953910196,2.70003064443394,2.96445576956961,3.11434161773482
History,World Bank (WDI),CAN,GDP|PPP,billion US$2005/yr,567.370293678304,649.668896366937,748.721512530885,815.396462410773,998.377904471884,1131.99996169552,1197.75683373065,1202.02244838091
History,World Bank (WDI),CHE,GDP|PPP,billion US$2005/yr,180.060793500914,194.044790438838,224.296537438682,225.414102251494,249.388572791697,266.129821233175,291.832420298351,294.123432559524
History,World Bank (WDI),CHL,GDP|PPP,billion US$2005/yr,59.993616595647,62.7055633336604,86.836360932991,131.703989375839,161.436311408623,198.365535465949,224.96242727974,232.675986467037
History,World Bank (WDI),CHN,GDP|PPP,billion US$2005/yr,514.118327379088,855.624995353038,1249.45264409702,2227.96079889079,3368.06687910723,5364.2508945695,7566.75472128211,9122.23735582665
History,World Bank (WDI),CIV,GDP|PPP,billion US$2005/yr,22.2722029553255,22.5698040878531,23.9154740944339,25.7252254456695,30.0242284951685,30.0230691443874,31.4631352394397,33.6255571955273
History,World Bank (WDI),CMR,GDP|PPP,billion US$2005/yr,18.2807428186703,28.5618770070197,25.3573694811269,23.0432905572506,29.0556503477777,34.8568390025959,38.3192156840709,40.3363391976804
History,World Bank (WDI),COG,GDP|PPP,billion US$2005/yr,5.30628255995299,8.63167123473466,8.49410718630563,8.68291194589521,9.78331583863942,11.9463368140948,13.1729535709871,15.3957389338594
History,World Bank (WDI),COL,GDP|PPP,billion US$2005/yr,142.352673490708,159.057051063513,202.429503707544,247.850562304792,263.193766648419,314.392155161362,371.315402295259,392.931965651231
History,World Bank (WDI),COM,GDP|PPP,billion US$2005/yr,0.396497125910969,0.489010268945162,0.52899958031192,0.549087483404236,0.590312367700072,0.676904052093757,0.695391139697865,0.722847658649993
History,World Bank (WDI),CPV,GDP|PPP,billion US$2005/yr,,0.478476407216906,0.567834226810758,0.731744768986035,0.997326832680237,1.27754388696446,1.6235651143644,1.77243248269835
History,World Bank (WDI),CRI,GDP|PPP,billion US$2005/yr,14.9452366197271,14.9487596293239,19.1550103305528,25.071164239694,31.8911699474227,38.9637181609521,46.993285589244,48.3475765572587
