Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,TTO,Population|Urban|Share,%,17.349,14.347,11.876,11.372,10.863,9.597,8.534,9.622,10.833,12.229,13.877
History,WUP2009,TUN,Population|Urban|Share,%,37.511,39.724,43.482,47.588,50.569,53.839,57.946,61.474,63.432,65.349,67.284
History,WUP2009,TUR,Population|Urban|Share,%,31.515,34.227,38.234,41.586,43.78,52.448,59.203,62.123,64.741,67.285,69.649
History,WUP2009,TUV,Population|Urban|Share,%,15.895,18.793,22.081,25.761,29.822,34.251,40.661,43.97,46.018,48.106,50.393
History,WUP2009,TZA,Population|Urban|Share,%,5.246,6.03,7.852,11.146,14.555,16.767,18.884,20.543,22.309,24.202,26.383
History,WUP2009,UGA,Population|Urban|Share,%,4.417,5.509,6.664,7.04,7.534,9.152,11.076,11.663,12.082,12.548,13.295
History,WUP2009,UKR,Population|Urban|Share,%,46.792,50.649,54.831,58.389,61.693,64.681,66.757,66.951,67.145,67.79,68.787
History,WUP2009,URY,Population|Urban|Share,%,80.241,81.328,82.368,83.387,85.394,87.194,88.973,90.542,91.325,91.926,92.479
History,WUP2009,USA,Population|Urban|Share,%,69.996,71.879,73.602,73.653,73.738,74.494,75.3,77.25,79.089,80.773,82.286
History,WUP2009,UZB,Population|Urban|Share,%,33.978,35.289,36.714,39.087,40.782,40.722,40.172,38.44,37.429,36.676,36.247
History,WUP2009,VAT,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,VCT,Population|Urban|Share,%,25.943,28.252,30.683,33.225,35.87,38.602,41.409,43.38,45.186,47.114,49.329
History,WUP2009,VEN,Population|Urban|Share,%,61.613,67.022,71.852,75.786,79.185,81.925,84.284,87.32,89.889,91.919,93.353
History,WUP2009,VGB,Population|Urban|Share,%,12.228,14.287,16.635,19.47,22.741,29.728,37.814,39.36,39.436,39.896,41.003
History,WUP2009,VIR,Population|Urban|Share,%,56.477,63.279,69.592,75.245,80.147,84.28,87.685,90.437,92.625,94.204,95.27
History,WUP2009,VNM,Population|Urban|Share,%,14.7,16.421,18.3,18.782,19.247,19.561,20.255,22.207,24.488,27.334,30.379
History,WUP2009,VUT,Population|Urban|Share,%,10.404,11.329,12.325,13.395,14.74,16.722,18.715,20.164,21.695,23.453,25.563
History,WUP2009,WLF,Population|Urban|Share,%,0,0,0,0,0,0,0,0,0,0,0
History,WUP2009,WSM,Population|Urban|Share,%,18.926,19.301,20.353,20.992,21.173,21.2,21.2,21.526,21.977,21.218,20.231
History,WUP2009,YEM,Population|Urban|Share,%,9.1,11.026,13.3,14.844,16.534,18.373,20.931,23.76,26.267,28.936,31.803
History,WUP2009,ZAF,Population|Urban|Share,%,46.619,47.248,47.809,48.109,48.425,49.372,52.037,54.486,56.891,59.283,61.702
History,WUP2009,ZMB,Population|Urban|Share,%,18.145,23.372,30.351,34.934,39.815,39.655,39.407,37.104,34.802,35,35.702
History,WUP2009,ZWE,Population|Urban|Share,%,12.608,14.62,17.362,19.873,22.371,25.414,28.988,31.732,33.758,35.873,38.254
