Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,COK,Population|Urban|Share,%,46.469,50.796,53.285,54.009,53.815,55.202,57.715,58.678,65.191,71.026,75.306
History,WUP2009,COL,Population|Urban|Share,%,45.033,51.022,54.82,58.539,62.121,65.574,68.276,70.516,72.075,73.581,75.071
History,WUP2009,COM,Population|Urban|Share,%,12.551,16.978,19.39,21.239,23.215,25.469,27.869,28.301,28.08,27.886,28.19
History,WUP2009,CPV,Population|Urban|Share,%,16.679,18.073,19.559,21.419,23.518,31.5,44.12,48.768,53.433,57.405,61.089
History,WUP2009,CRI,Population|Urban|Share,%,34.254,35.791,38.827,41.349,43.099,45.563,50.683,55.789,59.038,61.771,64.417
History,WUP2009,CUB,Population|Urban|Share,%,58.401,59.337,60.266,64.224,68.106,70.933,73.364,74.277,75.6,75.6,75.225
History,WUP2009,CYM,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,CYP,Population|Urban|Share,%,35.628,38.188,40.761,47.277,58.614,64.678,66.776,68.038,68.648,69.444,70.32
History,WUP2009,CZE,Population|Urban|Share,%,59.548,62.016,64.402,69.917,75.167,75.365,75.22,74.643,73.988,73.52,73.541
History,WUP2009,DEU,Population|Urban|Share,%,71.384,71.955,72.274,72.56,72.844,72.711,73.118,73.286,73.067,73.355,73.849
History,WUP2009,DJI,Population|Urban|Share,%,50.325,56.109,61.777,67.142,72.096,74.631,75.65,76.068,76.03,76.006,76.234
History,WUP2009,DMA,Population|Urban|Share,%,27.29,36.583,46.891,55.296,63.411,66.046,67.716,67.629,67.178,66.939,67.236
History,WUP2009,DNK,Population|Urban|Share,%,73.687,77.048,79.737,82.146,83.723,84.351,84.843,84.979,85.1,85.856,86.866
History,WUP2009,DOM,Population|Urban|Share,%,30.229,35.039,40.209,45.691,51.281,53.868,55.226,57.596,61.746,65.694,69.181
History,WUP2009,DZA,Population|Urban|Share,%,30.51,37.643,39.5,40.33,43.542,47.968,52.085,55.997,59.81,63.323,66.497
History,WUP2009,ECU,Population|Urban|Share,%,33.878,36.64,39.278,42.363,46.961,51.215,55.09,57.766,60.299,63.611,66.947
History,WUP2009,EGY,Population|Urban|Share,%,37.864,40.681,42.209,43.452,43.858,43.938,43.478,42.814,42.797,43.027,43.402
History,WUP2009,ERI,Population|Urban|Share,%,9.751,11.383,12.593,13.454,14.364,15.228,15.8,16.594,17.779,19.414,21.577
History,WUP2009,ESH,Population|Urban|Share,%,31.19,36.185,42.092,60.574,77.449,84.183,86.156,87.153,83.861,80.793,81.831
History,WUP2009,ESP,Population|Urban|Share,%,56.567,61.278,66.038,69.57,72.789,74.213,75.351,75.856,76.262,76.721,77.396
History,WUP2009,EST,Population|Urban|Share,%,57.533,61.348,64.947,67.589,69.711,70.767,71.128,69.979,69.4,69.4,69.487
History,WUP2009,ETH,Population|Urban|Share,%,6.433,7.587,8.588,9.46,10.41,11.453,12.621,13.9,14.9,15.928,16.661
History,WUP2009,FIN,Population|Urban|Share,%,55.29,59.658,63.704,67.831,71.727,75.808,79.367,80.963,82.183,83.674,85.09
History,WUP2009,FJI,Population|Urban|Share,%,29.681,32.582,34.758,36.721,37.769,38.523,41.611,45.496,47.908,49.871,51.861
History,WUP2009,FLK,Population|Urban|Share,%,50.495,51.847,54.041,56.33,58.696,64.012,74.15,65.987,67.606,70.828,73.635
History,WUP2009,FRA,Population|Urban|Share,%,61.88,67.071,71.055,72.926,73.282,73.65,74.056,74.912,76.895,81.555,85.251
History,WUP2009,FRO,Population|Urban|Share,%,21.383,25.553,27.951,30.326,31.186,30.766,30.594,30.926,36.337,39.781,40.317
History,WUP2009,FSM,Population|Urban|Share,%,22.312,23.537,24.808,25.858,26.445,26.149,25.818,25.068,22.33,22.33,22.663
History,WUP2009,GAB,Population|Urban|Share,%,17.398,23.775,32,42.971,54.682,62.402,69.143,75.361,80.146,83.599,86.028
History,WUP2009,GBR,Population|Urban|Share,%,78.444,77.821,77.117,77.683,78.481,78.39,78.14,78.353,78.651,79.036,79.638
History,WUP2009,GEO,Population|Urban|Share,%,43.069,45.534,48.006,50.344,52.497,54.194,55.038,53.841,52.638,52.47,52.747
History,WUP2009,GHA,Population|Urban|Share,%,23.252,26.074,28.972,30.058,31.167,32.896,36.441,40.139,43.954,47.763,51.471
History,WUP2009,GIB,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,GIN,Population|Urban|Share,%,10.472,12.978,15.977,19.515,23.617,26.621,28.026,29.475,31.047,32.996,35.361
History,WUP2009,GLP,Population|Urban|Share,%,95.666,95.105,95.067,96,97.98,98.486,98.594,98.485,98.4,98.4,98.408
History,WUP2009,GMB,Population|Urban|Share,%,12.129,14.533,19.496,24.426,28.414,33.019,38.312,43.841,49.099,53.895,58.149
History,WUP2009,GNB,Population|Urban|Share,%,13.6,14.349,15.132,15.95,17.605,22.431,28.131,29.814,29.695,29.602,30.003
History,WUP2009,GNQ,Population|Urban|Share,%,25.537,26.502,26.954,27.41,27.872,29.94,34.745,38.834,38.806,38.935,39.702
History,WUP2009,GRC,Population|Urban|Share,%,42.891,47.529,52.504,55.307,57.734,58.441,58.843,59.287,59.736,60.359,61.414
