timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
70.0,3.74,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.74,0.0,38.0,37.0,3.61,4.25,8.31,149.62,8.31,8.06,0.25,0.88,3.31,10.54,9.13,39.4,34.12,0,0
134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,9.0,2.2,4.9,25.37,387.2,25.37,26.4,-1.03,0.18,0.0,8.33,8.48,0.0,0.0,0,0
24.0,3.18,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,10.0,9.0,2.2,3.18,20.43,278.12,20.43,20.89,-0.46,0.04,0.14,8.76,6.66,27.86,21.17,0,0
99.0,3.66,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.66,0.0,52.0,51.0,3.93,4.6,25.57,291.47,-99.0,25.63,-0.05,0.43,1.58,9.32,8.59,34.15,31.47,0,0
13.0,2.56,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,5.0,4.0,1.39,2.56,23.43,442.86,-99.0,24.46,-1.03,0.17,0.42,10.61,6.48,27.21,16.63,0,0
182.0,4.09,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,27.0,26.0,3.26,5.2,16.33,158.34,-99.0,14.84,1.5,0.82,3.37,9.34,10.09,38.23,41.31,0,0
294.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.26,0.0,52.0,51.0,3.93,5.68,15.32,-99.0,-99.0,13.08,2.25,0.78,4.12,11.02,10.22,57.96,53.72,0,0
9.0,2.2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.2,0.0,10.0,9.0,2.2,2.2,18.96,142.08,-99.0,19.2,-0.24,0.52,1.15,6.41,8.69,14.08,19.09,0,0
10.0,2.3,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.3,0.0,11.0,10.0,2.3,2.3,26.59,285.82,26.59,27.31,-0.72,0.08,0.18,6.26,7.37,14.4,16.98,0,0
82.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.53,1.0,1.0,10.0,2.3,4.41,26.37,-99.0,-99.0,25.33,1.04,0.7,2.48,10.32,10.04,36.38,35.42,0,0
140.0,4.94,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.94,0.0,45.0,44.0,3.78,4.94,10.39,231.24,-99.0,8.97,1.42,0.61,3.04,6.17,11.21,30.47,55.41,0,0
296.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.5,0.0,5.0,4.0,1.39,5.69,10.8,218.63,10.8,11.05,-0.26,0.81,2.82,10.97,10.14,38.36,35.47,0,0
27.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.3,0.0,13.0,12.0,2.48,3.3,26.64,423.88,-99.0,25.96,0.68,0.01,0.04,8.28,7.33,27.29,24.17,0,0
169.0,2.83,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.83,0.0,14.0,13.0,2.56,5.13,27.5,323.93,-99.0,26.4,1.11,0.33,0.93,8.73,8.68,24.73,24.6,0,0
101.0,4.26,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.26,0.0,29.0,28.0,3.33,4.62,8.85,176.18,8.85,9.0,-0.15,0.75,3.21,10.01,9.13,42.67,38.92,0,0
19.0,2.94,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.94,1.0,1.0,4.0,1.39,2.94,28.46,75.59,28.46,28.5,-0.04,0.06,0.18,8.8,6.76,25.9,19.91,0,0
11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,11.0,2.4,2.4,22.87,284.49,22.87,23.39,-0.52,0.06,0.0,9.24,6.71,0.0,0.0,0,1
34.0,2.77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.77,0.0,21.0,20.0,3.0,3.53,24.51,222.47,-99.0,23.96,0.54,0.1,0.27,10.06,6.65,27.89,18.43,0,0
20.0,2.77,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,3.0,1.1,3.0,19.46,342.08,19.46,19.4,0.07,0.03,0.07,8.38,6.45,23.23,17.89,0,0
266.0,5.1,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.1,0.0,24.0,23.0,3.14,5.58,13.15,189.74,13.15,13.08,0.08,0.47,2.42,10.95,9.95,55.83,50.75,0,0
48.0,3.87,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,33.0,32.0,3.47,3.87,23.2,235.55,-99.0,22.7,0.5,0.03,0.13,10.68,7.12,41.36,27.58,0,0
145.0,3.58,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,1.1,4.98,24.65,701.82,24.65,24.79,-0.15,0.31,1.12,7.9,8.62,28.31,30.89,0,0
263.0,3.14,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.14,1.0,1.0,2.0,0.69,5.57,13.17,201.59,-99.0,13.78,-0.61,0.2,0.63,10.36,9.04,32.47,28.35,0,0
31.0,3.43,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,3.43,0.0,32.0,31.0,3.43,3.43,26.39,789.5,-99.0,26.16,0.23,0.46,1.58,6.24,7.77,21.44,26.69,0,0
2.0,0.69,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,2.0,1.0,0.0,0.69,-0.04,138.69,-0.04,0.96,-1.0,0.88,0.61,8.41,7.41,5.83,5.13,0,0
16.0,0.69,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,5.0,4.0,1.39,2.77,13.4,41.82,-99.0,12.56,0.84,0.45,0.31,10.19,7.74,7.06,5.36,0,0
45.0,3.81,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.81,0.0,14.0,13.0,2.56,3.81,24.96,428.66,24.96,25.96,-1.0,0.04,0.16,8.63,7.52,32.83,28.64,0,0
291.0,5.08,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.08,0.0,43.0,42.0,3.74,5.67,9.51,165.12,9.51,9.66,-0.15,0.73,3.68,9.62,10.19,48.8,51.73,0,0
15.0,0.69,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.69,0.0,3.0,2.0,0.69,2.71,27.06,94.83,27.06,27.17,-0.11,0.02,0.01,8.32,6.85,5.76,4.75,0,0
174.0,3.95,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,19.0,18.0,2.89,5.16,15.55,196.36,-99.0,14.84,0.72,0.74,2.91,9.31,9.99,36.78,39.46,0,0
38.0,3.64,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,8.0,7.0,1.95,3.64,26.25,441.16,26.25,25.8,0.45,0.05,0.2,9.0,6.69,32.73,24.33,0,0
89.0,4.11,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,9.0,8.0,2.08,4.49,9.38,180.99,-99.0,8.06,1.32,0.9,3.68,10.55,9.66,43.37,39.7,0,0
125.0,2.56,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.56,0.0,4.0,3.0,1.1,4.83,9.02,134.7,-99.0,9.0,0.02,0.69,1.77,10.01,9.02,25.67,23.13,0,0
51.0,3.89,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.89,0.0,18.0,17.0,2.83,3.93,0.63,132.61,-99.0,1.87,-1.24,0.84,3.25,8.43,9.32,32.81,36.28,0,0
7.0,1.95,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.95,0.0,8.0,7.0,1.95,1.95,8.81,181.69,8.81,7.72,1.09,0.9,1.76,8.59,9.45,16.72,18.39,0,0
19.0,2.71,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.71,0.0,12.0,11.0,2.4,2.94,10.23,192.65,-99.0,9.75,0.48,0.92,2.49,8.23,8.94,22.29,24.2,0,0
12.0,2.48,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.48,0.0,16.0,15.0,2.71,2.48,25.1,612.22,25.1,24.94,0.17,0.29,0.73,5.4,7.51,13.41,18.67,0,0
10.0,1.95,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,11.0,10.0,2.3,2.3,9.81,293.86,-99.0,8.96,0.85,0.88,1.72,8.45,7.88,16.45,15.33,0,0
157.0,3.83,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,18.0,17.0,2.83,5.06,24.27,443.97,24.27,24.71,-0.44,0.28,1.08,11.69,8.86,44.74,33.92,0,0
70.0,4.25,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.25,0.0,22.0,21.0,3.04,4.25,21.24,133.58,21.24,21.6,-0.36,0.69,2.94,9.48,9.76,40.29,41.48,0,0
311.0,0.69,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,1.0,62.0,61.0,4.11,5.74,6.73,132.83,-99.0,6.22,0.51,0.4,0.28,14.11,8.92,9.78,6.18,0,0
120.0,3.56,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.56,0.0,6.0,5.0,1.61,4.79,23.62,545.65,-99.0,24.13,-0.5,0.08,0.3,7.6,7.5,27.03,26.65,0,0
32.0,3.47,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,17.0,16.0,2.77,3.47,22.71,217.86,22.71,22.7,0.01,0.03,0.11,10.25,6.69,35.51,23.2,0,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,27.47,757.43,27.47,28.06,-0.59,0.37,0.0,7.97,7.59,0.0,0.0,0,2
36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,7.0,6.0,1.79,3.58,29.0,73.77,29.0,28.5,0.51,0.05,0.0,9.13,6.61,0.0,0.0,0,1
38.0,3.64,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.64,0.0,25.0,24.0,3.18,3.64,7.79,234.59,7.79,8.79,-1.0,0.89,3.23,11.02,10.06,40.09,36.58,0,0
37.0,3.26,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,3.61,26.98,308.12,26.98,26.8,0.18,0.45,1.47,11.64,7.29,37.94,23.76,0,0
174.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.09,0.0,19.0,18.0,2.89,5.16,26.45,-99.0,-99.0,26.4,0.06,0.4,1.25,8.74,8.75,27.02,27.04,0,0
6.0,1.79,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.79,0.0,7.0,6.0,1.79,1.79,27.88,369.23,-99.0,28.98,-1.1,0.15,0.27,7.51,8.71,13.45,15.61,0,0
13.0,2.56,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.56,0.0,2.0,1.0,0.0,2.56,7.11,267.59,-99.0,6.88,0.24,0.26,0.66,9.36,7.02,24.02,18.02,0,0
189.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,50.0,49.0,3.89,5.24,20.71,384.72,-99.0,20.74,-0.03,0.78,0.54,10.3,9.21,7.14,6.38,0,0
265.0,5.58,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.58,0.0,17.0,16.0,2.77,5.58,1.6,153.3,-99.0,2.44,-0.84,0.66,3.69,8.95,9.62,49.96,53.65,0,0
39.0,3.66,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,15.0,14.0,2.64,3.66,22.98,13.65,22.98,22.45,0.54,0.45,1.64,8.36,9.74,30.62,35.68,0,0
12.0,0.69,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,3.0,2.0,0.69,2.48,25.23,703.31,-99.0,25.45,-0.22,0.24,0.16,9.27,7.88,6.43,5.46,0,0
6.0,1.79,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,6.0,1.79,1.79,19.75,184.53,19.75,19.63,0.12,0.18,0.33,6.22,7.59,11.14,13.61,0,0
314.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.69,1.0,1.0,41.0,3.71,5.75,16.66,-99.0,-99.0,16.88,-0.22,0.62,0.43,11.25,9.3,7.8,6.45,0,0
12.0,2.48,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.48,0.0,2.0,1.0,0.0,2.48,26.57,250.25,26.57,26.91,-0.34,0.05,0.13,8.02,6.95,19.93,17.27,0,0
8.0,2.08,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,0.69,2.08,7.61,156.9,7.61,6.97,0.64,0.62,1.3,8.17,9.12,16.99,18.97,0,0
23.0,3.14,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.14,0.0,10.0,9.0,2.2,3.14,8.03,174.67,8.03,8.79,-0.76,0.88,2.77,11.03,9.73,34.59,30.51,0,0
26.0,3.26,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,5.0,4.0,1.39,3.26,24.65,632.98,24.65,24.44,0.21,0.42,1.38,6.67,8.24,21.72,26.85,0,0
22.0,3.09,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.09,1.0,1.0,1.0,0.0,3.09,27.75,138.36,27.75,28.28,-0.53,0.09,0.27,8.68,7.38,26.83,22.8,0,0
167.0,5.12,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.12,0.0,31.0,30.0,3.4,5.12,0.96,245.23,0.96,2.01,-1.06,0.76,3.91,8.32,10.19,42.57,52.13,0,0
22.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,17.0,16.0,2.77,3.09,18.32,170.84,-99.0,18.22,0.11,0.18,0.34,7.67,8.99,14.92,17.49,0,0
13.0,2.56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,14.0,13.0,2.56,2.56,21.1,79.2,21.1,21.27,-0.17,0.28,0.72,6.87,7.98,17.62,20.48,0,0
271.0,5.6,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,5.6,0.0,23.0,22.0,3.09,5.6,2.18,141.19,2.18,2.44,-0.26,0.72,4.02,9.0,9.77,50.41,54.74,0,0
59.0,4.08,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,4.08,0.0,59.0,58.0,4.06,4.08,22.5,661.63,-99.0,21.73,0.77,0.72,2.95,10.04,10.25,40.94,41.81,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,18.75,74.84,18.75,19.27,-0.52,0.29,0.0,7.29,8.33,0.0,0.0,0,1
22.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.09,0.0,19.0,18.0,2.89,3.09,10.71,-99.0,-99.0,10.33,0.37,0.93,2.88,7.63,10.18,23.59,31.48,0,0
2.0,0.69,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.69,0.0,2.0,1.0,0.0,0.69,28.11,61.97,-99.0,28.93,-0.83,0.14,0.1,7.96,7.14,5.52,4.95,0,0
31.0,3.43,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,16.0,2.77,3.43,26.36,324.79,-99.0,25.96,0.41,0.02,0.07,8.36,7.26,28.71,24.93,0,0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,17.0,2.83,4.04,26.23,-99.0,-99.0,25.45,0.78,0.79,0.0,10.31,9.62,0.0,0.0,0,1
18.0,2.89,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.89,1.0,1.0,1.0,0.0,2.89,1.55,112.92,-99.0,0.96,0.58,0.87,2.51,8.57,7.63,24.77,22.06,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.74,167.06,8.74,7.85,0.89,0.93,0.0,9.24,9.6,0.0,0.0,0,1
42.0,3.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.4,0.0,43.0,42.0,3.74,3.74,22.63,421.08,-99.0,22.19,0.45,0.05,0.18,9.73,6.64,33.08,22.6,0,0
294.0,3.43,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.43,0.0,3.0,2.0,0.69,5.68,12.27,254.49,12.27,11.05,1.22,0.8,2.73,10.96,10.12,37.65,34.75,0,0
7.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.95,1.0,1.0,1.0,0.0,1.95,27.63,199.37,-99.0,28.07,-0.44,0.02,0.04,8.58,6.27,16.7,12.21,0,0
30.0,3.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.4,0.0,6.0,5.0,1.61,3.4,20.27,212.2,20.27,19.63,0.64,0.38,1.28,6.94,8.34,23.59,28.35,0,0
70.0,2.3,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.3,0.0,23.0,22.0,3.09,4.25,25.22,368.89,25.22,25.63,-0.4,0.44,1.0,9.11,8.2,20.97,18.87,0,0
311.0,2.94,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.94,0.0,49.0,48.0,3.87,5.74,15.51,135.39,-99.0,13.78,1.73,0.55,1.62,10.75,10.21,31.64,30.05,0,0
25.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,11.0,10.0,2.3,3.22,28.6,21.81,28.6,28.76,-0.16,0.23,0.41,7.48,7.48,13.4,13.4,0,0
3.0,1.1,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.1,0.0,4.0,3.0,1.1,1.1,27.18,362.03,-99.0,26.91,0.26,0.02,0.03,7.84,6.81,8.61,7.49,0,0
48.0,3.14,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,14.0,13.0,2.56,3.87,20.08,73.79,-99.0,19.36,0.73,0.34,1.07,9.21,8.85,28.86,27.75,0,0
268.0,2.3,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.3,0.0,20.0,19.0,2.94,5.59,26.45,23.36,-99.0,26.74,-0.3,0.43,0.98,6.52,8.8,15.02,20.26,0,0
28.0,3.33,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.33,0.0,20.0,19.0,2.94,3.33,28.05,23.97,28.05,26.63,1.42,0.49,1.62,6.46,10.02,21.54,33.38,0,0
13.0,2.56,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,6.0,5.0,1.61,2.56,7.61,65.1,-99.0,6.26,1.35,0.89,2.29,9.61,8.99,24.65,23.05,0,0
42.0,3.74,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,30.0,3.4,3.74,7.75,343.29,7.75,6.88,0.88,0.36,1.33,9.91,7.95,37.05,29.72,0,0
24.0,3.18,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,16.0,15.0,2.71,3.18,21.8,244.15,21.8,21.63,0.17,0.22,0.69,8.92,7.2,28.33,22.88,0,0
9.0,2.2,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.2,0.0,3.0,2.0,0.69,2.2,26.59,327.89,-99.0,26.08,0.51,0.02,0.04,8.52,7.81,18.72,17.15,0,0
175.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,42.0,41.0,3.71,5.16,22.39,406.64,-99.0,22.31,0.09,0.39,1.73,9.53,8.87,42.89,39.92,0,0
26.0,3.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.26,0.0,4.0,3.0,1.1,3.26,12.85,115.83,12.85,12.33,0.52,0.13,0.42,7.41,6.91,24.16,22.5,0,0
148.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,12.0,11.0,2.4,5.0,-0.09,260.3,-99.0,2.01,-2.11,0.75,3.73,8.2,9.54,40.97,47.68,0,0
49.0,3.89,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,25.0,24.0,3.18,3.89,22.74,12.26,22.74,22.45,0.3,0.47,1.84,8.55,9.45,33.28,36.79,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.76,107.63,0.76,0.96,-0.21,0.88,0.0,8.41,7.57,0.0,0.0,0,1
44.0,1.95,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,45.0,44.0,3.78,3.78,23.93,387.99,23.93,22.95,0.98,0.19,0.37,8.56,7.11,16.65,13.83,0,0
311.0,5.74,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.74,0.0,49.0,48.0,3.87,5.74,5.77,273.44,-99.0,4.89,0.87,0.81,4.67,8.95,10.57,51.38,60.66,0,0
36.0,3.58,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,6.0,5.0,1.61,3.58,25.6,508.82,25.6,25.8,-0.2,0.06,0.2,8.92,6.67,31.98,23.92,0,0
17.0,2.83,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,10.0,9.0,2.2,2.83,8.23,170.67,-99.0,6.97,1.26,0.64,1.82,8.05,9.78,22.82,27.7,0,0
159.0,3.91,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.91,0.0,9.0,8.0,2.08,5.07,24.55,900.82,24.55,24.79,-0.25,0.3,1.17,8.25,9.01,32.29,35.23,0,0
63.0,2.71,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,35.0,34.0,3.53,4.14,25.32,33.41,25.32,25.33,-0.01,0.55,1.48,9.83,9.86,26.62,26.69,0,0
313.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,64.0,63.0,4.14,5.75,7.18,154.76,-99.0,6.22,0.96,0.44,0.61,14.12,9.09,19.57,12.6,0,0
30.0,2.4,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,17.0,16.0,2.77,3.4,24.3,402.29,24.3,24.1,0.2,0.31,0.74,10.46,6.49,25.08,15.56,0,0
44.0,3.78,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,3.78,0.0,6.0,5.0,1.61,3.78,-0.15,38.85,-99.0,-0.16,0.01,0.58,2.21,7.01,7.21,26.53,27.27,0,0
50.0,3.91,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.91,0.0,20.0,19.0,2.94,3.91,21.04,106.11,-99.0,19.2,1.83,0.92,3.58,7.01,10.13,27.41,39.65,0,0
100.0,4.61,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.61,0.0,5.0,4.0,1.39,4.61,9.33,216.86,-99.0,8.97,0.35,0.53,2.45,5.81,9.91,26.76,45.66,0,0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,36.0,35.0,3.56,3.89,24.52,369.57,-99.0,24.1,0.42,0.17,0.0,11.01,5.77,0.0,0.0,0,2
39.0,3.66,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.66,0.0,2.0,1.0,0.0,3.66,27.26,293.55,27.26,26.91,0.34,0.09,0.33,8.82,7.1,32.3,26.01,0,0
298.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.69,5.7,-6.49,105.49,-6.49,-4.36,-2.13,0.87,0.0,11.9,8.89,0.0,0.0,0,2
311.0,3.56,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,3.0,2.0,0.69,5.74,25.84,35.35,-99.0,26.74,-0.9,0.54,1.91,7.95,10.13,28.26,36.03,0,0
93.0,2.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.64,0.0,5.0,4.0,1.39,4.53,17.9,87.01,-99.0,17.61,0.3,0.38,0.99,10.76,8.99,28.38,23.72,0,0
36.0,3.14,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.14,0.0,37.0,36.0,3.58,3.58,26.12,540.18,-99.0,26.02,0.09,0.3,0.95,6.27,8.91,19.66,27.93,0,0
19.0,1.39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.39,0.0,20.0,19.0,2.94,2.94,25.19,561.01,25.19,24.84,0.35,0.05,0.07,6.12,7.06,8.48,9.79,0,0
263.0,5.57,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.57,0.0,15.0,14.0,2.64,5.57,2.03,140.51,-99.0,2.44,-0.41,0.64,3.59,8.94,9.53,49.81,53.1,0,0
104.0,4.64,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.64,0.0,62.0,61.0,4.11,4.64,10.87,398.57,-99.0,10.51,0.36,0.88,4.09,8.39,10.16,38.98,47.17,0,0
38.0,3.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,30.0,29.0,3.37,3.64,22.39,227.59,-99.0,21.63,0.75,0.19,0.68,9.27,6.98,33.72,25.37,0,0
26.0,3.26,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,15.0,14.0,2.64,3.26,26.3,18.24,26.3,25.72,0.58,0.35,1.13,7.56,10.19,24.63,33.19,0,0
60.0,4.09,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,33.0,32.0,3.47,4.09,21.81,5.8,21.81,22.47,-0.66,0.45,1.83,10.76,7.87,44.05,32.23,0,0
31.0,3.43,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.43,0.0,32.0,31.0,3.43,3.43,28.91,543.18,28.91,28.98,-0.07,0.19,0.65,7.79,8.88,26.75,30.51,0,0
23.0,0.69,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,16.0,15.0,2.71,3.14,27.2,104.35,27.2,26.87,0.32,0.13,0.09,9.82,6.95,6.81,4.82,0,0
174.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.14,0.0,66.0,65.0,4.17,5.16,25.92,-99.0,-99.0,25.25,0.67,0.36,1.12,8.7,8.19,27.28,25.69,0,0
11.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,1.0,12.0,11.0,2.4,2.4,28.09,731.88,28.09,28.06,0.03,0.4,0.95,8.24,7.52,19.75,18.03,0,0
211.0,4.84,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.84,0.0,44.0,43.0,3.76,5.35,6.8,189.47,6.8,6.92,-0.13,0.88,4.26,12.47,10.37,60.29,50.17,0,0
13.0,2.56,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.56,0.0,5.0,4.0,1.39,2.56,26.78,5.55,26.78,27.3,-0.51,0.45,1.15,7.15,11.05,18.35,28.34,0,0
