timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
23.0,3.14,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.14,1.0,1.0,1.0,0.0,3.14,25.65,445.29,25.65,25.8,-0.15,0.09,0.27,8.43,6.72,26.43,21.07,0,2
34.0,3.53,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.53,0.0,4.0,3.0,1.1,3.53,19.74,152.9,19.74,19.2,0.53,0.83,2.94,6.73,9.87,23.73,34.8,0,0
53.0,3.97,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,3.97,0.0,15.0,14.0,2.64,3.97,-1.3,47.5,-1.3,-0.16,-1.14,0.51,2.02,7.27,7.5,28.87,29.78,0,0
149.0,3.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.3,0.0,2.0,1.0,0.0,5.0,25.38,307.25,25.38,25.05,0.33,0.32,1.04,8.95,8.36,29.49,27.57,0,0
50.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,6.0,1.79,3.91,20.02,292.63,-99.0,19.4,0.62,0.05,0.05,9.09,6.32,9.99,6.94,0,0
8.0,2.08,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.08,0.0,9.0,8.0,2.08,2.08,27.73,131.08,-99.0,28.28,-0.55,0.08,0.17,8.29,7.48,17.23,15.55,0,0
7.0,1.95,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.95,0.0,2.0,1.0,0.0,1.95,6.71,205.1,6.71,6.97,-0.26,0.65,1.27,8.18,9.13,15.91,17.76,0,0
197.0,3.53,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.53,0.0,23.0,22.0,3.09,5.28,13.95,160.1,-99.0,13.64,0.31,0.54,1.92,10.62,9.65,37.45,34.02,0,0
302.0,5.71,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.71,0.0,54.0,53.0,3.97,5.71,3.31,144.01,-99.0,2.44,0.87,0.87,4.98,9.1,10.31,51.94,58.88,0,0
100.0,4.61,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.61,0.0,58.0,57.0,4.04,4.61,10.45,350.06,-99.0,10.51,-0.05,0.86,3.96,8.35,10.17,38.46,46.83,0,0
95.0,4.55,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.55,0.0,14.0,13.0,2.56,4.55,-7.2,110.55,-99.0,-7.06,-0.14,0.75,3.41,9.83,9.53,44.78,43.39,0,0
4.0,1.39,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.39,0.0,5.0,4.0,1.39,1.39,26.48,10.43,26.48,26.63,-0.15,0.45,0.63,5.59,9.75,7.74,13.51,0,0
6.0,1.79,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.79,0.0,3.0,2.0,0.69,1.79,28.65,347.18,-99.0,-99.0,-99.0,0.35,0.63,6.96,7.01,12.46,12.57,0,0
160.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.1,0.0,3.0,2.0,0.69,5.08,26.46,514.09,-99.0,25.37,1.09,0.06,0.06,8.17,5.98,8.97,6.57,0,0
179.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,12.0,2.48,5.19,22.95,335.03,22.95,23.17,-0.21,0.25,0.0,8.35,8.42,0.0,0.0,0,0
203.0,4.77,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.77,0.0,36.0,35.0,3.56,5.31,6.6,182.99,6.6,6.92,-0.32,0.88,4.21,12.39,10.23,59.09,48.8,0,0
75.0,2.71,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.71,0.0,28.0,27.0,3.3,4.32,25.14,350.36,25.14,25.63,-0.48,0.47,1.28,9.17,8.42,24.84,22.79,0,0
33.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3.5,0.0,34.0,33.0,3.5,3.5,23.82,75.55,-99.0,23.41,0.41,0.13,0.46,6.18,8.09,21.62,28.28,0,0
61.0,4.11,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,4.11,0.0,61.0,60.0,4.09,4.11,12.56,317.31,-99.0,11.51,1.05,0.98,4.02,10.78,10.14,44.33,41.68,0,0
35.0,1.95,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,3.56,28.21,191.73,28.21,28.07,0.14,0.07,0.15,9.22,6.62,17.94,12.88,0,0
173.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.16,0.0,23.0,22.0,3.09,5.15,25.42,723.87,-99.0,24.79,0.62,0.45,1.85,8.49,9.35,35.29,38.88,0,0
262.0,0.69,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,13.0,12.0,2.48,5.57,5.79,144.35,-99.0,6.22,-0.43,0.08,0.06,13.42,5.03,9.3,3.49,0,0
56.0,3.97,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.97,0.0,26.0,25.0,3.22,4.03,10.59,181.47,10.59,10.33,0.26,0.74,2.93,9.26,9.1,36.76,36.12,0,0
20.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,14.0,13.0,2.56,3.0,28.23,183.69,28.23,28.07,0.16,0.04,0.12,8.83,6.47,26.45,19.4,0,0
257.0,5.04,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,5.04,0.0,15.0,14.0,2.64,5.55,12.82,187.5,12.82,13.08,-0.26,0.45,2.28,10.93,9.73,55.11,49.07,0,0
